setting_type,num_clients,seed,f1,accuracy,execution_time
centralized,-99,-99,0.4352737887478686,0.445578231292517,0.8655810356140137
federated_standard,1,1,0.4352737887478686,0.445578231292517,2.247107744216919
federated_standard,1,2,0.4352737887478686,0.445578231292517,2.3369951248168945
federated_standard,1,3,0.4352737887478686,0.445578231292517,2.2420358657836914
federated_standard,3,1,0.4352737887478686,0.445578231292517,6.140207052230835
federated_standard,3,2,0.4352737887478686,0.445578231292517,6.035269021987915
federated_standard,3,3,0.4352737887478686,0.445578231292517,6.092293977737427
federated_standard,5,1,0.4352737887478686,0.445578231292517,9.827643871307373
federated_standard,5,2,0.4352737887478686,0.445578231292517,9.813713788986206
federated_standard,5,3,0.4352737887478686,0.445578231292517,10.11000394821167
federated_standard,10,1,0.4352737887478686,0.445578231292517,19.34503173828125
federated_standard,10,2,0.4352737887478686,0.445578231292517,19.222331047058105
federated_standard,10,3,0.4352737887478686,0.445578231292517,19.12539291381836
federated_private,1,1,0.4352737887478686,0.445578231292517,10.078445196151733
federated_private,1,2,0.4352737887478686,0.445578231292517,9.923985958099365
federated_private,1,3,0.4352737887478686,0.445578231292517,9.933053016662598
federated_private,3,1,0.4352737887478686,0.445578231292517,71.4551591873169
federated_private,3,2,0.4352737887478686,0.445578231292517,71.76698994636536
federated_private,3,3,0.4352737887478686,0.445578231292517,71.2822470664978
federated_private,5,1,0.4352737887478686,0.445578231292517,178.2550892829895
federated_private,5,2,0.4352737887478686,0.445578231292517,178.44751477241516
federated_private,5,3,0.4352737887478686,0.445578231292517,178.34262609481812
federated_private,10,1,0.4352737887478686,0.445578231292517,719.7999970912933
federated_private,10,2,0.4352737887478686,0.445578231292517,719.1755220890045
federated_private,10,3,0.4352737887478686,0.445578231292517,716.4672818183899
